Data;s_1001;s_1002;s_1003;s_1004;s_1005;s_1006;s_1007;s_1008;s_1009;s_1010;s_1011;s_1012;s_1013;s_1014;s_1015;s_1016;s_1018;s_1019;s_1020;s_1021;s_1022;s_1028;s_1029;s_1030;s_1031;s_1032;s_1033;s_1034;s_1035;s_1036;s_1037
ago/95;NA;NA;NA;NA;11,07519421;25,10359754;88,2687258;NA;78,3159269;50,55279092;73,17143866;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/95;NA;NA;NA;NA;12,03329662;24,31125359;88,5675241;NA;76,86880589;46,07803542;71,47875243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/95;NA;NA;NA;NA;12,20032411;24,84681988;86,78262351;NA;78,37238685;48,01545866;73,16521652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/95;NA;NA;NA;NA;12,18634633;26,16552132;85,08957393;NA;77,96454759;48,53868073;72,0918956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/95;NA;NA;NA;NA;11,48243929;28,5003667;84,131883;NA;81,60390803;47,60362568;75,17088984;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/96;NA;NA;NA;NA;11,81308711;27,90856966;83,41552218;NA;78,75592297;48,50730749;73,24284134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/96;NA;NA;NA;NA;12,23787278;27,417612;84,75959356;NA;79,48979149;47,01555978;74,09401272;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/96;NA;NA;NA;NA;13,16587723;28,38677954;86,71778815;NA;81,24005871;48,64227798;75,21250124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/96;NA;NA;NA;NA;13,34965477;29,52818387;88,87962304;NA;81,4048195;51,84178123;77,39672143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/96;NA;NA;NA;NA;13,60149293;30,44108779;90,11573384;NA;81,461654;53,24819019;77,83079965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jun/96;NA;NA;NA;NA;13,67388547;31,98091484;91,34425221;NA;82,6196306;53,0398897;78,98425717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jul/96;NA;NA;NA;NA;13,15195703;30,85844952;91,78849074;NA;82,64188663;55,20996188;79,29336768;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ago/96;NA;NA;NA;NA;12,73344938;32,04256224;92,39221685;NA;82,61495786;54,62659105;78,70127353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
set/96;NA;NA;NA;NA;12,82630694;31,41782318;91,70368279;NA;83,24156766;55,36532386;79,08093467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
out/96;NA;NA;NA;NA;12,84196085;31,82421346;92,67612587;NA;82,26503117;55,02676218;78,96423792;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
nov/96;NA;NA;NA;NA;12,69441148;32,96910156;91,88953605;NA;82,78046527;56,13462629;81,30734131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
dez/96;NA;NA;NA;NA;12,72326101;33,18659038;92,16849708;NA;82,18119908;56,61172219;80,1686855;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
jan/97;NA;NA;NA;NA;13,27062054;34,67532646;90,78746601;NA;81,75292857;57,74048083;81,30960636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
fev/97;NA;NA;NA;NA;13,76291461;34,15585812;93,35064606;NA;80,39308213;55,34521241;78,04379203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mar/97;NA;NA;NA;NA;13,48078256;34,45720925;93,48708942;NA;80,79550426;57,15233072;80,82302407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
abr/97;NA;NA;NA;NA;13,56119895;33,76718525;93,89899652;NA;81,17129362;56,66366599;81,43042713;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
mai/97;NA;NA;NA;NA;13,45936768;35,64242287;92,88231956;NA;81,98913807;56,6378109;81,79952592;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
